# Individual psuedo-acceleration response spectra in units of cm/s2 computed by the
# SCEC broadband platform for the ground motion.
# Period (s),PSA NS (cm/s2),PSA EW (cm/s2),PSA UD (cm/s2)
3.225800e-02,1.430200e-01,2.243100e-01,1.456700e-01
2.941200e-02,1.409600e-01,2.134300e-01,1.476500e-01
2.500000e-02,1.355800e-01,1.963400e-01,1.461400e-01
2.222200e-02,1.380800e-01,1.960800e-01,1.460300e-01
2.000000e-02,1.371100e-01,2.054200e-01,1.471100e-01
1.818200e-02,1.439000e-01,2.023900e-01,1.450200e-01
1.666700e-02,1.422500e-01,2.057100e-01,1.467000e-01
1.538500e-02,1.422800e-01,2.034500e-01,1.467000e-01
1.428600e-02,1.368600e-01,2.022100e-01,1.457200e-01
1.333300e-02,1.361400e-01,1.998300e-01,1.463300e-01
1.250000e-02,1.348600e-01,1.962100e-01,1.460900e-01
1.176500e-02,1.355300e-01,1.964000e-01,1.461200e-01
1.111100e-02,1.359100e-01,1.986700e-01,1.462500e-01
1.052600e-02,1.378500e-01,1.988500e-01,1.458000e-01
1.000000e-02,1.378500e-01,1.999000e-01,1.462200e-01
